ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
12, Android Auto ,This project aims to integrate Android Auto functionality into Organic Maps to provide an alternative to proprietary mapping solutions and make it..., Andrei Shkrob , Mentor  Roman Tsisyk , Organization  Organic Maps ,/archive/2023/projects/HMGczlm7,https://gist.github.com/AndrewShkrob/9da5959fd9fe89aff472ce00ca77cf4e,Yes,Yes,This project aims to integrate Android Auto functionality into Organic Maps to provide an alternative to proprietary mapping solutions and make it more accessible and convenient for drivers.,"['https://github.com/organicmaps/organicmaps/pull/3806', 'https://github.com/organicmaps/organicmaps/pull/4150', 'https://github.com/organicmaps/organicmaps/pull/4681', 'https://github.com/organicmaps/organicmaps/pull/5007', 'https://github.com/organicmaps/organicmaps/pull/5045', 'https://github.com/organicmaps/organicmaps/pull/5214', 'https://github.com/organicmaps/organicmaps/pull/5367']","['https://github.com/organicmaps/organicmaps/issues/4096', 'https://github.com/organicmaps/organicmaps/issues/5404', 'https://github.com/organicmaps/organicmaps/issues?q=is%3Aopen+is%3Aissue+label%3AAndroidAuto']","java, c++","android, Android Auto"
13, 1.1 Integrate Zenodo API with The Virtual Brain ,"The Virtual Brain (TVB) is a scientific simulation platform that provides all means to generate, manipulate and visualize connectivity and network...", Abhijit Deo ," Mentor  Lia Domide, romina.baila ", Organization  INCF ,/archive/2023/projects/dtJuOy2s,https://gist.github.com/abhi-glitchhg/5fc28c1bae62104f7cf507b453cd72a0,No,Yes,"The Virtual Brain (TVB) is a scientific simulation platform that provides all means to generate, manipulate and visualize connectivity and network dynamics of the brain networks. Researchers in Computational Neuroscience use brain network models to understand the dynamic behavior of the healthy and diseased brain, as measured by various neuroimaging techniques such as fMRI, EEG, and MEG. TVB is currently the only neuroinformatics project providing a platform for researchers to work together on modeling studies using brain network models with realistic connectivity.

The modeling of the simulations requires datasets generally hosted on data storage platforms like Zenodo, OpenSourceBrain, EBRAINS, etc. One has to download the dataset manually, unzip it and then use it inside the web GUI. 

Instead of manually downloading and unzipping the data, the project's goal is to have a dedicated framework to manage the downloading and unzipping the dataset from remote sources. Right now, we are focusing on the Zenodo platform, but there are other platforms like OpenSourceBrain and EBRAINS for which we would like to extend the downloading functionality.",['https://github.com/the-virtual-brain/tvb-root/pull/691'],[],"python, Zenodo","neuroscience, data processing"
14, CatAI : LLM-Based AI Programming Support for Catrobat Applications ,The aim of this project is to add support for an LLM (large language model) based on tools such as GPT-4 to support AI-based programming support for..., Divyangi Raghav ," Mentor  Wolfgang Slany, Michael Flucher, Bernhard Prattes ", Organization  International Catrobat Association ,/archive/2023/projects/Z2ZWk7l2,https://gist.github.com/divz-codess/c19de227749935a7eb50793456b9f04d,No,Yes,"The aim of this project is to add support for an LLM (large language model) based on tools such as GPT-4 to support AI-based programming support for our users. This support could range from proposing code from text prompts, help in correcting bugs or other issues, finding a good architecture or meaningful names, writing Catrobat language tests for one's code, proposing extensions, proposing project ideas, explaining downloaded code, providing translations of variable or message names etc from downloaded projects of other users, proposing image and sound resources based on the context and text prompts, explaining basic or more advanced concepts needed to realize projects, e.g., simple concepts such as variables and loops, or more complex ones such as software design patterns or testing strategies. Overall, the proposed project aims to provide a more comprehensive and tailored solution for Catrobat users, with a broader range of features and a more user-friendly interface compared to existing products.",[],[],"flutter, ai, dart",artificial intelligence
15, Enhancing Web Development on Chromium: Accessibility Improvement in Chromium DevTools ,"In an effort to improve the web development experience on Chromium, this project aims to add an efficient way to access Media panels to help debug...", Jeremy Yoo ," Mentor  Sreeja Kamishetty, Feras Aldahlawi, Sangbaek Park ", Organization  Chromium ,/archive/2023/projects/JBA9iOkF,https://gist.github.com/joonyoo181/dfadc41ef9740c7ecb126096f264b646,Yes,Yes,"In an effort to improve the web development experience on Chromium, this project aims to add an efficient way to access Media panels to help debug media elements. In the DevTool’s DOM tree, a new link adorner will be added next to audio / video HTML elements. Clicking on this link adorner will direct the user to the media panel, which will display information related to that media player.",[],[],"c++, html, typescript","web, media, devtools, browser"
16, Continuous Integration Optimization ,"Submitty currently has unit and integration tests that take over an hour to complete, the goal is to reduce the run time of the tests by at least...", Cameron Peterson ," Mentor  Barbara Cutler, Matthew Peveler, Shail Patel, Jasmine Plum, Chris Reed, William Allen, Jensen Li ", Organization  Submitty ,/archive/2023/projects/buBnvtEr,https://submitty.org/developer/google_summer_of_code/2023_Cameron_Peterson,No,Yes,"Submitty currently has unit and integration tests that take over an hour to complete, the goal is to reduce the run time of the tests by at least half, while adding more tests to increase the code coverage, in order to limit the amount of inaccurate changes being merged.","['https://github.com/Submitty/Submitty/pull/9382', 'https://github.com/Submitty/Submitty/pull/9317', 'https://github.com/Submitty/Submitty/pull/9423', 'https://github.com/Submitty/Submitty/pull/9399', 'https://github.com/Submitty/Submitty/pull/6922', 'https://github.com/Submitty/submitty.github.io/pull/519', 'https://github.com/Submitty/submitty.github.io/pull/430', 'https://github.com/Submitty/Submitty/pull/9448', 'https://github.com/Submitty/Submitty/pull/9480', 'https://github.com/Submitty/Submitty/pull/9461', 'https://github.com/Submitty/Submitty/pull/9393', 'https://github.com/Submitty/Submitty/pull/9505', 'https://github.com/Submitty/Submitty/pull/9503', 'https://github.com/Submitty/Submitty/pull/9518', 'https://github.com/Submitty/Submitty/pull/9518', 'https://github.com/Submitty/Submitty/pull/9406', 'https://github.com/Submitty/Submitty/pull/9179', 'https://github.com/Submitty/Submitty/pull/9530', 'https://github.com/Submitty/Submitty/pull/8864', 'https://github.com/Submitty/submitty.github.io/pull/9517', 'https://github.com/Submitty/submitty.github.io/pull/534', 'https://github.com/Submitty/Submitty/pull/9460', 'https://github.com/Submitty/Submitty/pull/9446', 'https://github.com/Submitty/Submitty/pull/9462', 'https://github.com/Submitty/Submitty/pull/9499', 'https://github.com/Submitty/Submitty/pull/9522', 'https://github.com/Submitty/Submitty/pull/9617', 'https://github.com/Submitty/Submitty/pull/9620', 'https://github.com/Submitty/Submitty/pull/9588', 'https://github.com/Submitty/Submitty/pull/9466', 'https://github.com/Submitty/Submitty/pull/9517']",[],"python, docker","continuous integration, development, Unit tests, Integration Tests"
17, MariaDB Columnstore - Parquet support in cpimport - proposal - Bin Ruan ,The task is to make cpimport support parquet files as input or design a general framework to add new input formats. Considering cpimport finish its..., BinRuan , Mentor  Gagan Goel , Organization  MariaDB ,/archive/2023/projects/w0LzyrnO,https://github.com/HanpyBin/mariadb-columnstore-engine/tree/MCOL-5505-7,No,No,"The task is to make cpimport support parquet files as input or design a general framework to add new input formats. 
    Considering cpimport finish its workflow by two stages, read and parse, so I plan to solve this problem from these two stages. For read stage, I will use some external library to help finish reading like `parquet-cpp`, `arrow` and so on. By using parquet-cpp, I can directly read parquet file and by using `arrow::table` I can store data in table format. Later, in parse stage, I plan to use table format data and parse it to insert data into target table.
    After finishing the task, cpimport can handle parquet file input or other poplular formats like arrow, avro and successfully insert data into the database.","['https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2552', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2492', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2885', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2861', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2882', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2842', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2842', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2738', 'https://github.com/mariadb-corporation/mariadb-columnstore-engine/pull/2896']",[],"c++, git",database
18, PyBaMM Techno-Economic Analysis Library ,A very interesting and nice thing during the development of batteries are back-of-the-envelope estimations. An example might be to estimate an areal..., Julian Evers ," Mentor  Robert Timms, Valentin Sulzer, Jacqueline Edge ", Organization  NumFOCUS ,/archive/2023/projects/OE5AUkm6,https://pybamm.org/gsoc/2023/julian-evers/,No,Yes,"A very interesting and nice thing during the development of batteries are back-of-the-envelope estimations. An example might be to estimate an areal loading of active material necessary to compete with another active material, which has different capacity and potential. The different loading would also influence the entire cell and process design such that a coupled cell-process-cost model could give much more accurate and holistic cost estimates than single rules of thumb can. The coupling of cell and process can be achieved by decomposing the process into decoupled process units, which are then connected with cell parameters, e.g. areal loadings. The flexible submodel structure of PyBaMM would enable the use of independent “plug and play” economics e.g. for modeling different processes and economies of scale, as well as the combination of other PyBaMM models to estimate key values for degradation and thermal performance. Making it possible e.g. to study the interplay between formation and degradation accompanied with costs and other key values such as energy densities.","['https://github.com/pybamm-team/pybamm-tea/pull/5', 'https://github.com/pybamm-team/pybamm-tea/pull/9', 'https://github.com/pybamm-team/pybamm-tea/pull/10', 'https://github.com/pybamm-team/pybamm-tea/pull/12', 'https://github.com/pybamm-team/pybamm-tea/pull/13', 'https://github.com/pybamm-team/pybamm-tea/pull/16', 'https://github.com/pybamm-team/pybamm-tea/pull/17', 'https://github.com/pybamm-team/pybamm-tea/pull/18', 'https://github.com/pybamm-team/pybamm-tea/pull/20', 'https://github.com/pybamm-team/pybamm-tea/pull/21', 'https://github.com/pybamm-team/pybamm-tea/pull/22', 'https://github.com/pybamm-team/pybamm-tea/pull/23', 'https://github.com/pybamm-team/pybamm-tea/pull/24', 'https://github.com/pybamm-team/pybamm-tea/pull/25']","['https://github.com/pybamm-team/pybamm-tea/issues/1', 'https://github.com/pybamm-team/pybamm-tea/issues/2', 'https://github.com/pybamm-team/pybamm-tea/issues/3', 'https://github.com/pybamm-team/pybamm-tea/issues/4', 'https://github.com/pybamm-team/pybamm-tea/issues/6', 'https://github.com/pybamm-team/pybamm-tea/issues/7', 'https://github.com/pybamm-team/pybamm-tea/issues/8', 'https://github.com/pybamm-team/pybamm-tea/issues/11', 'https://github.com/pybamm-team/pybamm-tea/issues/14', 'https://github.com/pybamm-team/pybamm-tea/issues/15', 'https://github.com/pybamm-team/pybamm-tea/issues/19']",python,Battery modeling
19, Improving OpenPGP encryption experience in LibreOffice ,"The project aims to enhance the experimental PGP/GPG encryption support in LibreOffice by addressing several shortcomings, such as the need to select...", Ahmed Gamal Eltokhy ," Mentor  Thorsten, Heiko Tietze, hosseinn ", Organization  LibreOffice ,/archive/2023/projects/kT3Vc8Im,https://tokiesan.github.io/blogposts/gsoc/final_report.html,No,No,"The project aims to enhance the experimental PGP/GPG encryption support in LibreOffice by addressing several shortcomings, such as the need to select recipients anew for every save and the difficulty in finding the right keys. The project will also focus on developing smart searching, traversing, and filtering capabilities for large keyrings, as well as adding asynchronous querying for improved performance.

The plan involves several steps, including understanding the current implementation of PGP/GPG encryption support, implementing recipient selection for PGP/GPG encryption, developing smart searching, traversing, and filtering capabilities for large keyrings, adding asynchronous querying for improved performance, and finalizing the project.",[],[],"c, c++, qt, GNUGPG","Libreoffice, OpenPGP"
20, Results Visualization For GCP Scanner ,This project aims to implement a web single-page application to visualize the output of the GCP scanner tool. The app should make it easier for users..., Yahia Zakaria ," Mentor  Maksim Shudrak, ZetaTwo ", Organization  GCP Scanner ,/archive/2023/projects/yNwMCgJJ,https://github.com/google/gcp_scanner/wiki/GSoC-2023-%E2%80%90-Results-Visualization-For-GCP-Scanner-Output,No,No,This project aims to implement a web single-page application to visualize the output of the GCP scanner tool. The app should make it easier for users to quickly identify all resources their credentials have access to and allow the user to filter and search through these resources. The app should also provide the user with different visualizations for other information extracted from the GCP scanner.,"['https://github.com/google/gcp_scanner/pull/187', 'https://github.com/google/gcp_scanner/pull/197', 'https://github.com/google/gcp_scanner/pull/236', 'https://github.com/google/gcp_scanner/pull/244', 'https://github.com/google/gcp_scanner/pull/251', 'https://github.com/google/gcp_scanner/pull/252', 'https://github.com/google/gcp_scanner/pull/262', 'https://github.com/google/gcp_scanner/pull/263', 'https://github.com/google/gcp_scanner/pull/264', 'https://github.com/google/gcp_scanner/pull/270', 'https://github.com/google/gcp_scanner/pull/274', 'https://github.com/google/gcp_scanner/pull/275', 'https://github.com/google/gcp_scanner/pull/280', 'https://github.com/google/gcp_scanner/pull/281', 'https://github.com/google/gcp_scanner/pull/282', 'https://github.com/google/gcp_scanner/pull/285', 'https://github.com/google/gcp_scanner/pull/286', 'https://github.com/google/gcp_scanner/pull/288', 'https://github.com/google/gcp_scanner/pull/289']",[],"python, react, typescript","web, data visualization, cloud, ui, gcp"
21, Responsiveness & Tablet-based Needs for OpenMRS 3 ,"In today's digital era, where users access applications on a variety of devices with varying screen sizes, ensuring a consistent and user-friendly...", Jessie Ssebuliba ," Mentor  Kumuditha Karunarathna, Vineet Sharma ", Organization  OpenMRS ,/archive/2023/projects/fUbHuou9,https://jexsie.medium.com/responsiveness-tablet-based-needs-for-openmrs-3-o3-8218409e4725,No,No,"In today's digital era, where users access applications on a variety of devices with varying screen sizes, ensuring a consistent and user-friendly experience across platforms is crucial. Openrms, a cutting-edge project, presents an array of designs that demonstrate how the frontend user experience (UX) should adapt dynamically based on the screen size or device. 
We have a ton of designs that show how the frontend UX should change based on screen size or device (e.g. large desktop, small laptop, or tablet). This project aims to implement this responsiveness consistently throughout the application.",[],[],"javascript, react, typescript, SCSS","web, ui, ux, openmrs, EMR"
22, Code Refactoring & Parallelization ,"Currently, GCP Scanner does not support the parallel enumeration of GCP resources and parallel scanning of GCP targets. This project is aimed to...", peb ," Mentor  Maksim Shudrak, ZetaTwo ", Organization  GCP Scanner ,/archive/2023/projects/K9S1VvIa,https://github.com/google/gcp_scanner/wiki/GSoC-2023-%E2%80%90-Code-Refactoring-and-Parallelization,No,Yes,"Currently, GCP Scanner does not support the parallel enumeration of GCP resources and parallel scanning of GCP targets. This project is aimed to address this shortcoming. 

Also, GCP Scanner has one giant scanning loop from where it launches GCP resource crawlers. We need to split each crawler into individual modules with proper error handling that will improve code readability and quality. We can leverage python classes for the state of execution control, config parsing, and enabling/disabling certain functionality in the scanner.","['https://github.com/google/gcp_scanner/pull/237', 'https://github.com/google/gcp_scanner/pull/265', 'https://github.com/google/gcp_scanner/pull/269', 'https://github.com/google/gcp_scanner/pull/194', 'https://github.com/google/gcp_scanner/pull/200', 'https://github.com/google/gcp_scanner/pull/202', 'https://github.com/google/gcp_scanner/pull/215', 'https://github.com/google/gcp_scanner/pull/216', 'https://github.com/google/gcp_scanner/pull/217', 'https://github.com/google/gcp_scanner/pull/218', 'https://github.com/google/gcp_scanner/pull/221', 'https://github.com/google/gcp_scanner/pull/222', 'https://github.com/google/gcp_scanner/pull/223', 'https://github.com/google/gcp_scanner/pull/257', 'https://github.com/google/gcp_scanner/pull/272']","['https://github.com/google/gcp_scanner/issues/158', 'https://github.com/google/gcp_scanner/issues/242', 'https://github.com/google/gcp_scanner/issues/153', 'https://github.com/google/gcp_scanner/issues/192', 'https://github.com/google/gcp_scanner/issues/199', 'https://github.com/google/gcp_scanner/issues/201']",python,"security, cloud, Scanner, security-tools"
23, KerasCV: Creating Tutorials ,"The existing Keras Database [1] presently features just four functional tutorials for 3D datasets, the latest of which dates back to the summer of...", Ambra Jin , Mentor  Shilpa Kancharla , Organization  TensorFlow ,/archive/2023/projects/9lfGbA1d,https://github.com/TGAmbra/GSOC-2023/wiki/Home/43429ef393c8ef901e8765bf469a75df7289cb5d,Yes,Yes,"The existing Keras Database [1] presently features just four functional tutorials for 3D datasets, the latest of which dates back to the summer of 2021. To address this gap, I am proposing an innovative new tutorial for this project that draws on one of the most significant papers in 3D shape reconstruction from 2022: ""Learning to Generate 3D Shapes from a Single Example"" [2]. The paper proposes a model capable of generating new shapes from a solitary reference 3D shape, presenting a promising new avenue for exploration in this field.",[],[],"python, keras","deep learning, 3D modelling"
24, GORA-709 Improve Geode datastore and upgrade Hadoop dependencies ,"This project will upgrade Hadoop dependencies in Apache Gora repository and improve Geode datastore existing implementation for Apache Gora., that...", trisha-melani ," Mentor  Kevin Ratnasekera, Chanaka ", Organization  Apache Software Foundation ,/archive/2023/projects/19qnve5z,https://gist.github.com/trisha-melani-gsoc/ac9526ec11e7368207ef2a88bbb911f2,No,Yes,"This project will upgrade Hadoop dependencies in Apache Gora repository and improve Geode datastore existing implementation for Apache Gora., that way Gora is apple communicate with Geode datastore, persist and query data as required.",[],[],"java, Geode","database, ORM"
25, TypeScript Migration and UI/Integrations Improvements ,"The Zulip messaging app currently relies heavily on JavaScript, which lacks certain types and safeguards for developers. To improve the experience...", Satyam Bansal , Mentor  punchagan , Organization  Zulip ,/archive/2023/projects/omRubSOY,https://gist.github.com/sbansal1999/3fbd057945f8c1ec47de513e8fcf570a,Yes,Yes,"The Zulip messaging app currently relies heavily on JavaScript, which lacks certain types and safeguards for developers. To improve the experience and speed of creating modules, the project aims to migrate to TypeScript, which provides missing types and additional safeguards. In addition to the migration, improving the UI and Integrations of the Zulip Web App could bring significant enhancements to the app.","['https://github.com/zulip/zulip/pull/25831', 'https://github.com/zulip/zulip/pull/25861', 'https://github.com/zulip/zulip/pull/25881', 'https://github.com/zulip/zulip/pull/25888', 'https://github.com/zulip/zulip/pull/25922', 'https://github.com/zulip/zulip/pull/26066', 'https://github.com/zulip/zulip/pull/26087', 'https://docs.github.com/en/webhooks-and-events/webhooks/webhook-events-and-payloads?actionType=submitted#pull_request_review', 'https://github.com/zulip/zulip/pull/26151', 'https://github.com/zulip/zulip/pull/26159', 'https://github.com/zulip/zulip/pull/26222', 'https://github.com/zulip/zulip/pull/26231', 'https://github.com/zulip/zulip/pull/26484', 'https://github.com/zulip/zulip/pull/26500', 'https://github.com/zulip/zulip/pull/26201', 'https://github.com/zulip/zulip/pull/26201/commits/c535e8e416143a75535c49018602ab9086b8ced1', 'https://github.com/zulip/zulip/pull/26201/commits/3b9dd25982c6518249000c5b391a75affb9c675f', 'https://github.com/zulip/zulip/pull/26201/commits/b0678d6b65b87521396283d1e29aef0db5b13b41', 'https://github.com/zulip/zulip/pull/26201/commits/71b57b2ba751bad10932c9cfecdf2a0cfd7f8ac4', 'https://github.com/zulip/zulip/pull/26212', 'https://github.com/zulip/zulip/pull/26239', 'https://github.com/zulip/zulip/pull/25106', 'https://github.com/zulip/zulip/pull/25610', 'https://github.com/zulip/zulip/pull/19943', 'https://github.com/zulip/zulip/pull/25610/commits/fcf2fff128b8b2632b88ad4435ae9ec9d2900d1d', 'https://github.com/zulip/zulip/pull/25610/commits/4a74c76f48edc31e22b5792509c8c87a0e0bda4a', 'https://github.com/zulip/zulip/pull/25610/commits/2abe2f2610b4cdfaa975c05177414da4d1985a1d', 'https://github.com/zulip/zulip/pull/25610/commits/21159451450631be922ee8541c57dc1714b81b51', 'https://github.com/zulip/zulip/pull/25610/commits/5d2b9f6124d69e644eb3784c9bf39665b93aee3c', 'https://github.com/zulip/zulip/pull/25610/commits/4460a91e9713aa542a762f64ebb2787c55092dab', 'https://github.com/zulip/zulip/pull/25796', 'https://github.com/zulip/zulip/pull/25801', 'https://github.com/zulip/zulip/pull/25802', 'https://github.com/zulip/zulip/pull/25593', 'https://github.com/zulip/zulip/pull/25650', 'https://github.com/zulip/zulip/pull/25679', 'https://github.com/zulip/zulip/pull/25698', 'https://github.com/zulip/zulip/pull/25701', 'https://github.com/zulip/zulip/pull/25745', 'https://github.com/zulip/zulip/pull/25746', 'https://github.com/zulip/zulip/pull/26239']","['https://github.com/zulip/zulip/issues/25976', 'https://github.com/zulip/zulip/issues/26549', 'https://github.com/zulip/zulip/issues/26550']","python, javascript, django, typescript","user interface, Type Checking, Migrations, integrations"
26, Migration to user groups for permissions. ,The main target of this project would be to work on migration to user groups for permissions which aims to replace every setting in Zulip that..., Ujjawal Modi ," Mentor  Shubham Dhama, Pragati Agrawal ", Organization  Zulip ,/archive/2023/projects/0kG78NA6,https://gist.github.com/Ujjawal3/e46d360636384d1a277e3b2789ea1e2a,No,Yes,"The main target of this project would be to work on migration to user groups for permissions which aims to replace every setting in Zulip that currently allows organizations to assign permissions based on role (admin, moderator, etc.) with a setting based on arbitrary “user groups”. I would majorly work on areas of settings and stream settings, migrating the existing settings to the new model and adding new settings based on the new permission model.","['https://github.com/zulip/zulip/pull/26243', 'https://github.com/zulip/zulip/pull/26372', 'https://github.com/zulip/zulip/pull/26149/commits', 'https://github.com/zulip/zulip/pull/25884', 'https://github.com/zulip/zulip/pull/25884', 'https://github.com/zulip/zulip/pull/26355', 'https://github.com/zulip/zulip/pull/25827', 'https://github.com/zulip/zulip/pull/26111', 'https://github.com/zulip//zulip/pull/26109', 'https://github.com/zulip/zulip/pull/26147', 'https://github.com/zulip/zulip/pull/26196', 'https://github.com/zulip/zulip/pull/26102']",['https://github.com/zulip/zulip/issues/25929'],"python, javascript, django",web development
27, Develop Performance Farm Benchmarks and Website (2023) ,The Performance Farm project aims to emphasize Postgresql performance as it evolves by conducting benchmarks and posting the results on a webpage...., Anil rundla ," Mentor  Ilaria Battiston, sfrost ", Organization  PostgreSQL ,/archive/2023/projects/W2YKA7jL,https://lord2anil.github.io/gsoc23-report/,No,No,"The Performance Farm project aims to emphasize Postgresql performance as it evolves by conducting benchmarks and posting the results on a webpage.
The project has three sections:
A client script responsible for getting the most recent Postgres version, compiling and installing it, and then executing PgBench to collect results in JSON format.

An API that accepts results, parses them, and saves them in a database while providing endpoints from which they may be retrieved.

A website that parses and collects API responses and shows them as tables, graphs, and textual information.

The proposed project aims to enhance the project by adding features such as generating and managing EXPLAIN query plans, adding custom queries to the benchmark suite, and integrating profiling tools into the performance farm.",[],[],"python, postgresql, django, html, css, js",web
28, Improve Waveform drawing speed ,"Blender supports video editing through its video sequence editor. While the editor allows users to load videos and audio files, computing the audio...", Lucas Tadeu Teixeira , Mentor  Richard Antalik , Organization  Blender Foundation ,/archive/2023/projects/tYsdcgpI,https://www.lucastadeu.com/p/improving-waveform-drawing-speed,No,No,"Blender supports video editing through its video sequence editor. While the editor allows users to load videos and audio files, computing the audio waveforms for the audio tracks can take a really long time when working with large files (multiple gigabytes). This makes for a degraded user experience.

This project will reduce the time taken to see the waveforms by:
● Processing multiple audio sequences in parallel in the background,
● Only computing the waveforms of sequences that are visible in the user
interface

Once these initial speed ups are achieved, I'll explore improvement opportunities lower down the audio processing stack.",[],[],c++,"audio processing, video editing, performance improvement"
29, Realtime object tracking models ,Deep learning techniques impressively improve the performance of object tracking algorithms. Such algorithms have been deployed on some drones and..., Jose Rios , Mentor  Viktor Bebnev , Organization  OpenCV ,/archive/2023/projects/5ehLZkp3,https://gist.github.com/guanarp/9e37f53ac6dd8497ee6e0c15c5d12ed4,Yes,Yes,"Deep learning techniques impressively improve the performance of object tracking algorithms. Such algorithms have been deployed on some drones and robot dogs, with which people can record videos in a distance without the concern of losing cameras. Computation capacity and power supply can be critical on edge devices such as drones and robot dogs. Object tracking models should be real-time and power-efficient enough to run on edge devices.",[],[],"python, opencv, c++, Python Notebooks","machine learning, computer vision, edge devices"
30, Refactor Class Components to Functional Components ,Volto is structured as a typical Redux-centered React application. The refactoring class components to functional components project is centered..., Tisha Soumya ," Mentor  Nilesh, Jefferson Bledsoe ", Organization  Plone Foundation ,/archive/2023/projects/dvhArmDK,https://medium.com/@tishasoumya/refactor-class-components-to-function-components-plone-foundation-gsoc23-26cba7256808,No,No,"Volto is structured as a typical Redux-centered React application. The refactoring class components to functional components project is centered around using concepts of hooks to migrate class components to functional components and testing the refactored components with Cypress tests and Storybook to verify the UI is intact, after, all the tasks are delivered performing e2e testing.The lifecycle of the components should be preserved while watching out for edge cases and UX problems.Delivering appropriate documentation for the changes made.",[],[],"react, Plone",web applications
31, A real-time computing support for concore. ,"To achieve real-time execution in Concore, one approach is to optimize the existing codebase. However, implementing the system with straightforward...", Shivang Vijay ," Mentor  Pradeeban, Mark Arnold, Mayuresh V. Kothare "," Organization  Department of Biomedical Informatics, Emory University ",/archive/2023/projects/ZrOpJIc7,https://shivangvijay.github.io/GSoC/index.html,No,No,"To achieve real-time execution in Concore, one approach is to optimize the existing codebase. However, implementing the system with straightforward C++ implementations may offer even better results in terms of efficiency and speed, due to the language's closer proximity to hardware. As Concore involves multiple processes, an IPC mechanism should be developed to replace the current file-sharing communication method, in order to enable efficient data transfer. Finally, it's necessary to ensure that Concore with optimized C++ programs can run on an affordable hardware device that supports real-time computation.",[],[],"python, c++, sphinx, raspberry pi, os, Linux/POSIX for real-time computations, Doxygen","iot, c++, python"
32, QuTiP Virtual Lab ,"Simulating quantum physics in QuTiP provides an excellent educational tool. However, using QuTiP requires writing Python code, which may present an...", Trent F ," Mentor  Alex Pitchford, Simon Cross, Asier Galicia ", Organization  NumFOCUS ,/archive/2023/projects/88K7XU4Q,https://github.com/qutip/qutip-virtual-lab/releases/tag/v1.0.0-rc.1,No,No,"Simulating quantum physics in QuTiP provides an excellent educational tool. However, using QuTiP requires writing Python code, which may present an obstacle in some teaching contexts. Programming is, of course, a very valuable skill to master. Attempting to master it while simultaneously coming to grips with quantum mechanics is perhaps less advisable.

We would like to create a graphical virtual laboratory powered by QuTiP which allows users to explore quantum systems without being distracted by the need to write software.

The virtual lab would allow building up experiments from components (e.g. sub-spaces such as qubits, Hamiltonians for those subspaces, interaction Hamiltonians, environment baths), evolving the system over time, applying measurements, and attaching monitoring of quantum states or measurement outcomes (e.g. Hinton plots, Bloch sphere plots). 

Deliverables

- A graphical interface that acts as a virtual laboratory
- Allows the construction of simple quantum systems (e.g. placing four neutral atoms)
- Allows defining the evolution of each system component
- Allows defining the interactions between system components
- Allows coupling the system to an environment bath
- Allows simulating the system dynamics and visualizing their evolution over time
- Allows visualizing the steady state of the defined system
- Can be run on both desktop and tablets",[],[],"python, javascript","education, Quantum Mechanics"
33," Hash Maps That Don’t Hate You: A Proposal For Fast, Insertion-Ordered Hash Maps in Truffleruby ",The project this document proposes is that of implementing the hash map structure described in high level detail in the article Hash Maps That Don’t..., Mostafa-M-K ," Mentor  Benoit Daloze, Kevin Menard ", Organization  Ruby ,/archive/2023/projects/dxbIv9s3,https://github.com/oracle/truffleruby/pull/3172,No,Yes,"The project this document proposes is that of implementing the hash map structure
described in high level detail in the article Hash Maps That Don’t Hate You (https://blog.toit.io/hash-maps-that-dont-hate-you-1a96150b492a), an elegant variation over standard open addressing hash tables that, instead of storing the Key-Value pairs themselves in the array backing the hash table, it stores indices into yet another insertion-ordered backing array. This allows us to have our cake and eat it too : we get insertion-order iteration while still maintaining most of the desirable performance guarantees expected from hash tables, with reasonable
implementation complexity.

Deliverables:

A build of truffleruby with a Hash implementation as described in the article, supporting all standard Ruby Hashes operations (as of Ruby 3.1) and hopefully faster and\or more memory efficient than the current implementation of Hashes in truffleruby.","['/login?return_to=https%3A%2F%2Fgithub.com%2Ftruffleruby%2Ftruffleruby%2Fpull%2F3172', '/login?return_to=https%3A%2F%2Fgithub.com%2Ftruffleruby%2Ftruffleruby%2Fpull%2F3172', 'https://github.com/truffleruby/truffleruby/pull/3172#event-11236820209', '/login?return_to=https%3A%2F%2Fgithub.com%2Ftruffleruby%2Ftruffleruby%2Fpull%2F3172', 'https://github.com/oracle/truffleruby/pull/3172']",[],"java, ruby, Truffle, GraalVM, Graal","interpreters, Hash Maps"
34, Arti API exploration to build example tools ,Some programs should be created and curated using Arti to illustrate to other developers how they can use its APIs and to also find bugs. This..., Saksham Mittal , Mentor  Nick Mathewson , Organization  The Tor Project ,/archive/2023/projects/UXQdBvLj,https://gotlou.srht.site/gsoc-final.html,No,Yes,"Some programs should be created and curated using Arti to illustrate to other developers how they can use its APIs and to also find bugs. This includes 3 example programs to let developers get their feet wet with Arti and 2 bigger projects which would have a legitimate, production use case and can benefit from all that Arti provides, even in its current infancy.

There will also be documentation improvements made, especially to APIs that these example projects rely on, in order to more directly contribute upstream to Arti.",[],[],rust,networking
